Mon Feb 10 17:35:59 2025    profile_output.prof

         25979773 function calls (23642197 primitive calls) in 95.415 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      473   37.902    0.080   37.902    0.080 {method 'encode' of 'ImagingEncoder' objects}
       36    8.174    0.227    8.174    0.227 {method 'solve' of 'scs.SCS' objects}
7930/7894    7.459    0.001   13.733    0.002 {method 'call' of '_tkinter.tkapp' objects}
       36    6.248    0.174    6.248    0.174 {built-in method matplotlib.backends._tkagg.blit}
       73    2.619    0.036    2.628    0.036 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/matplotlib/backends/backend_agg.py:63(__init__)
      814    2.285    0.003    2.285    0.003 {method 'copy' of 'ImagingCore' objects}
      309    1.895    0.006    1.913    0.006 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/matplotlib/backends/backend_agg.py:93(draw_path)
  3033/37    1.474    0.000    0.046    0.001 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/matplotlib/_mathtext.py:373(_get_info)
      110    1.000    0.009    3.622    0.033 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/matplotlib/backends/backend_agg.py:268(clear)
       37    0.975    0.026    0.975    0.026 {built-in method _tkinter.create}
      218    0.909    0.004    0.952    0.004 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/matplotlib/collections.py:2418(draw)
   446076    0.608    0.000    0.743    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/cvxpy/utilities/performance_utils.py:44(_cache_key)
446076/78012    0.556    0.000    2.405    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/cvxpy/utilities/performance_utils.py:63(_compute_once)
   126030    0.428    0.000    0.428    0.000 {method 'reduce' of 'numpy.ufunc' objects}
1650126/1649704    0.407    0.000    0.643    0.000 {built-in method builtins.isinstance}
1163270/1162160    0.326    0.000    0.545    0.000 {built-in method builtins.getattr}
   7900/0    0.325    0.000    0.000          /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/matplotlib/text.py:358(_get_layout)
     4350    0.312    0.000    0.424    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/matplotlib/lines.py:744(draw)
 72078/38    0.307    0.000    0.549    0.014 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/pyparsing/core.py:806(_parseNoCache)
    781/1    0.286    0.000    0.001    0.001 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/matplotlib/backends/backend_agg.py:206(get_text_width_height_descent)
 73836/30    0.262    0.000    0.546    0.018 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/pyparsing/core.py:973(_parseCache)
    73744    0.258    0.000    0.259    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/pyparsing/exceptions.py:49(__init__)
      541    0.256    0.000    0.256    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/matplotlib/backends/backend_agg.py:173(draw_mathtext)
570586/569695    0.254    0.000    0.467    0.000 {built-in method builtins.hasattr}
    16488    0.229    0.000    0.256    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/matplotlib/_api/__init__.py:65(check_isinstance)
     2205    0.211    0.000    0.211    0.000 {built-in method marshal.loads}
    69073    0.210    0.000    0.323    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/matplotlib/font_manager.py:700(__hash__)
  1787/23    0.193    0.000    0.024    0.001 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/matplotlib/backends/backend_agg.py:248(_prepare_font)
    63396    0.173    0.000    0.790    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/cvxpy/atoms/atom.py:41(__init__)
   321146    0.163    0.000    0.357    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/matplotlib/__init__.py:778(__getitem__)
1104035/1098025    0.159    0.000    0.161    0.000 {built-in method builtins.len}
    64505    0.156    0.000    0.402    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/copy.py:61(copy)
   741026    0.153    0.000    0.153    0.000 {method 'items' of 'dict' objects}
   544138    0.152    0.000    0.185    0.000 {method 'get' of 'dict' objects}
    60217    0.151    0.000    0.188    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/matplotlib/transforms.py:1769(__init__)
15475/12055    0.138    0.000    0.252    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/matplotlib/transforms.py:2431(get_affine)
4031/3815    0.134    0.000    0.182    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/matplotlib/_mathtext.py:601(_get_glyph)
18550/16308    0.133    0.000    1.030    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/matplotlib/artist.py:1188(_update_props)
    14678    0.131    0.000    0.135    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/matplotlib/transforms.py:179(set_children)
   104306    0.128    0.000    0.128    0.000 {method 'copy' of 'numpy.ndarray' objects}
    33569    0.124    0.000    0.124    0.000 {built-in method matplotlib._path.affine_transform}
       29    0.120    0.004    0.436    0.015 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/matplotlib/font_manager.py:1453(_findfont_cached)
   326141    0.116    0.000    0.143    0.000 {built-in method _abc._abc_instancecheck}
       76    0.115    0.002    0.115    0.002 {built-in method matplotlib._c_internal_utils.display_is_valid}
    54946    0.112    0.000    0.183    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/matplotlib/cbook.py:2010(_setattr_cm)
   321793    0.112    0.000    0.194    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/matplotlib/__init__.py:698(_get)
    45036    0.110    0.000    0.945    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/cvxpy/utilities/canonical.py:75(copy)
    58701    0.109    0.000    0.140    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/pyparsing/results.py:153(__new__)
   7265/0    0.109    0.000    0.000          /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/matplotlib/text.py:926(get_window_extent)
   256400    0.108    0.000    0.119    0.000 {built-in method builtins.setattr}
241055/198594    0.107    0.000    0.228    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/matplotlib/artist.py:315(stale)
  215/211    0.104    0.000    0.115    0.001 {built-in method _imp.create_dynamic}
    15759    0.104    0.000    0.129    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/matplotlib/cbook.py:1742(normalize_kwargs)
    31002    0.103    0.000    0.222    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/matplotlib/transforms.py:749(__init__)
    26532    0.100    0.000    0.474    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/cvxpy/cvxcore/python/cppbackend.py:160(make_linC_from_linPy)
133280/75896    0.100    0.000    0.399    0.000 {built-in method builtins.any}
   461225    0.099    0.000    0.099    0.000 {method 'append' of 'list' objects}
69710/1323    0.097    0.000    0.239    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/copy.py:118(deepcopy)
     2641    0.096    0.000    0.138    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/numpy/_core/numeric.py:2337(isclose)
    46121    0.093    0.000    0.101    0.000 {built-in method numpy.array}
     1073    0.093    0.000    0.106    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/matplotlib/cbook.py:293(connect)
   326141    0.091    0.000    0.234    0.000 <frozen abc>:117(__instancecheck__)
    31119    0.090    0.000    0.816    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/matplotlib/font_manager.py:1293(findfont)
     2641    0.090    0.000    1.843    0.001 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/matplotlib/axis.py:1287(_update_ticks)
    51456    0.087    0.000    0.264    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/numpy/_core/fromnumeric.py:69(_wrapreduction)
93395/93359    0.087    0.000    0.100    0.000 {built-in method numpy.asarray}
     8244    0.087    0.000    0.146    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/scipy/sparse/_sputils.py:264(get_index_dtype)
137592/133632    0.084    0.000    0.186    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/cvxpy/utilities/deterministic.py:1(unique_list)
    28768    0.083    0.000    0.096    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/matplotlib/font_manager.py:1233(score_stretch)
   186714    0.082    0.000    0.213    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/matplotlib/font_manager.py:1349(<genexpr>)
   321795    0.082    0.000    0.082    0.000 {function RcParams.__getitem__ at 0x7fa75304a480}
     8700    0.081    0.000    0.152    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/inspect.py:876(cleandoc)
     9828    0.080    0.000    0.091    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/pyparsing/results.py:224(__setitem__)
    31131    0.079    0.000    0.236    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/copy.py:247(_reconstruct)
142056/2304    0.079    0.000    0.221    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/cvxpy/utilities/debug_tools.py:22(node_count)
   2636/0    0.079    0.000    0.000          {built-in method builtins.exec}
   554223    0.077    0.000    0.077    0.000 {built-in method builtins.id}
       72    0.077    0.001    0.077    0.001 {built-in method _cvxcore.build_matrix}
154397/14357    0.076    0.000    0.303    0.000 {built-in method builtins.sum}
22248/468    0.076    0.000    0.509    0.001 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/cvxpy/atoms/atom.py:311(canonicalize)
73836/1836    0.074    0.000    0.222    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/cvxpy/utilities/canonical.py:47(variables)
38304/1944    0.073    0.000    1.540    0.001 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/cvxpy/atoms/atom.py:169(is_convex)
35484/35209    0.073    0.000    0.135    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/matplotlib/cbook.py:348(process)
    11340    0.072    0.000    0.072    0.000 {built-in method posix.stat}
62640/14544    0.070    0.000    0.360    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/cvxpy/expressions/expression.py:249(is_constant)
32580/468    0.068    0.000    0.698    0.001 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/cvxpy/reductions/dcp2cone/dcp2cone.py:72(canonicalize_tree)
    45040    0.068    0.000    0.068    0.000 {method 'reshape' of 'numpy.ndarray' objects}
  17315/1    0.068    0.000    0.002    0.002 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/matplotlib/text.py:65(_get_text_metrics_with_cache)
    33075    0.067    0.000    0.255    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/matplotlib/transforms.py:1886(__init__)
    73116    0.066    0.000    0.117    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/pyparsing/util.py:112(set_)
37224/36360    0.064    0.000    0.355    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/cvxpy/atoms/atom.py:186(is_concave)
   101728    0.063    0.000    0.063    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/matplotlib/transforms.py:110(__init__)
     2205    0.062    0.000    0.277    0.000 <frozen importlib._bootstrap_external>:751(_compile_bytecode)
    17360    0.062    0.000    0.065    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/numpy/lib/_stride_tricks_impl.py:413(_broadcast_shape)
     7205    0.062    0.000    0.062    0.000 {method 'read' of '_io.BufferedReader' objects}
   120924    0.062    0.000    0.299    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/cvxpy/expressions/expression.py:570(cast_to_const)
    15237    0.061    0.000    0.141    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/numpy/_core/fromnumeric.py:41(_wrapit)
75022/65306    0.061    0.000    0.524    0.000 {built-in method builtins.next}
    31082    0.060    0.000    0.071    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/contextlib.py:104(__init__)
110542/109697    0.059    0.000    0.094    0.000 {built-in method __new__ of type object at 0x55dfe32dff80}
    542/7    0.057    0.000    0.005    0.001 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/matplotlib/backends/backend_agg.py:185(draw_text)
   502740    0.057    0.000    0.057    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/cvxpy/utilities/scopes.py:47(dpp_scope_active)
