lambda,result_0,result_1,result_2
1e-06,4.29142008432349e-15,4.37007808129978e-15,0.5610435810012909
2e-06,4.29142008432349e-15,4.37007808129978e-15,0.5610435810012909
5e-06,4.29142008432349e-15,4.37007808129978e-15,0.5610435810012909
1e-05,4.29142008432349e-15,4.37007808129978e-15,0.5610435810012909
2e-05,4.29142008432349e-15,4.37007808129978e-15,0.5610435810012909
5e-05,4.29142008432349e-15,4.37007808129978e-15,0.5610435810012909
0.0001,4.29142008432349e-15,4.37007808129978e-15,0.5610435810012909
0.0002,4.29142008432349e-15,4.37007808129978e-15,0.5610435810012909
0.0005,4.29142008432349e-15,4.37007808129978e-15,0.5610435810012909
0.001,4.29142008432349e-15,4.37007808129978e-15,0.5610435810012909
0.002,0.1313405253430906,0.3591128310177038,0.04235116443651711
0.005,0.006626822109958137,0.15587796626010483,0.07174499907040949
0.01,0.057155932766218866,0.0022713606322299915,0.012623649710348172
0.02,0.06663093531261396,0.002047247318115354,0.003779905058238004
0.05,0.012155532216438171,0.03343676721191019,0.02801302207844908
0.1,0.012843603024986524,0.008050698827793063,0.0193777738747745
