Wed Feb  5 16:03:07 2025    profile_output.prof

         81890 function calls (79883 primitive calls) in 0.157 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     92/1    0.001    0.000    0.157    0.157 {built-in method builtins.exec}
        1    0.000    0.000    0.157    0.157 ../tests/test_import.py:1(<module>)
    102/1    0.001    0.000    0.157    0.157 <frozen importlib._bootstrap>:1349(_find_and_load)
    102/1    0.001    0.000    0.157    0.157 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
     99/1    0.001    0.000    0.157    0.157 <frozen importlib._bootstrap>:911(_load_unlocked)
     91/1    0.000    0.000    0.157    0.157 <frozen importlib._bootstrap_external>:989(exec_module)
    251/2    0.000    0.000    0.157    0.078 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
        1    0.001    0.001    0.157    0.157 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/numpy/__init__.py:1(<module>)
    354/4    0.001    0.000    0.150    0.037 {built-in method builtins.__import__}
   204/31    0.001    0.000    0.147    0.005 <frozen importlib._bootstrap>:1390(_handle_fromlist)
        1    0.000    0.000    0.075    0.075 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/numpy/lib/__init__.py:1(<module>)
        1    0.000    0.000    0.074    0.074 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/numpy/__config__.py:1(<module>)
        1    0.000    0.000    0.073    0.073 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/numpy/_core/__init__.py:1(<module>)
        1    0.000    0.000    0.056    0.056 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/numpy/lib/_index_tricks_impl.py:1(<module>)
        1    0.000    0.000    0.051    0.051 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/numpy/matrixlib/__init__.py:1(<module>)
        1    0.000    0.000    0.051    0.051 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/numpy/matrixlib/defmatrix.py:1(<module>)
        1    0.000    0.000    0.050    0.050 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/numpy/linalg/__init__.py:1(<module>)
        1    0.000    0.000    0.048    0.048 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/numpy/linalg/_linalg.py:1(<module>)
        1    0.000    0.000    0.038    0.038 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/numpy/_typing/__init__.py:1(<module>)
    99/90    0.000    0.000    0.034    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
  216/156    0.001    0.000    0.032    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/typing.py:392(inner)
        1    0.000    0.000    0.031    0.031 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/numpy/_core/multiarray.py:1(<module>)
      8/5    0.000    0.000    0.030    0.006 <frozen importlib._bootstrap_external>:1287(create_module)
      8/5    0.023    0.003    0.030    0.006 {built-in method _imp.create_dynamic}
        1    0.000    0.000    0.029    0.029 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/numpy/_core/overrides.py:1(<module>)
       91    0.001    0.000    0.029    0.000 <frozen importlib._bootstrap_external>:1062(get_code)
        1    0.000    0.000    0.021    0.021 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/numpy/_typing/_dtype_like.py:1(<module>)
       91    0.002    0.000    0.019    0.000 <frozen importlib._bootstrap_external>:751(_compile_bytecode)
       58    0.000    0.000    0.019    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/typing.py:1279(__or__)
       85    0.000    0.000    0.019    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/typing.py:515(__getitem__)
       85    0.001    0.000    0.019    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/typing.py:694(Union)
      184    0.001    0.000    0.018    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/typing.py:1260(__init__)
       91    0.017    0.000    0.017    0.000 {built-in method marshal.loads}
        1    0.000    0.000    0.015    0.015 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/numpy/_core/numeric.py:1(<module>)
      101    0.002    0.000    0.013    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
      187    0.002    0.000    0.012    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/typing.py:262(_collect_parameters)
        1    0.000    0.000    0.011    0.011 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/numpy/_core/shape_base.py:1(<module>)
      101    0.000    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:1520(find_spec)
      265    0.001    0.000    0.010    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/numpy/_core/overrides.py:142(decorator)
      101    0.000    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:1491(_get_spec)
     2029    0.008    0.000    0.009    0.000 {built-in method builtins.hasattr}
        1    0.000    0.000    0.009    0.009 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/numpy/_core/fromnumeric.py:1(<module>)
      145    0.002    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:1593(find_spec)
      256    0.001    0.000    0.008    0.000 <frozen importlib._bootstrap>:463(_lock_unlock_module)
      358    0.003    0.000    0.008    0.000 <frozen importlib._bootstrap>:304(acquire)
  144/143    0.004    0.000    0.008    0.000 {built-in method builtins.__build_class__}
        1    0.000    0.000    0.007    0.007 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/numpy/_typing/_array_like.py:1(<module>)
        1    0.000    0.000    0.006    0.006 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/numpy/lib/npyio.py:1(<module>)
        1    0.000    0.000    0.006    0.006 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/numpy/_core/_methods.py:1(<module>)
        1    0.000    0.000    0.006    0.006 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/numpy/_core/_internal.py:1(<module>)
        1    0.000    0.000    0.005    0.005 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/numpy/lib/_npyio_impl.py:1(<module>)
        1    0.000    0.000    0.005    0.005 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/numpy/_typing/_char_codes.py:1(<module>)
    45/12    0.000    0.000    0.005    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/typing.py:1285(__getitem__)
       39    0.000    0.000    0.005    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/typing.py:521(__getitem__)
      230    0.001    0.000    0.005    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/numpy/_core/overrides.py:83(verify_matching_signatures)
       39    0.001    0.000    0.005    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/typing.py:753(Literal)
       91    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:1183(get_data)
      102    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap>:416(__enter__)
      311    0.001    0.000    0.004    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/numpy/_core/function_base.py:505(add_newdoc)
        1    0.000    0.000    0.004    0.004 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/numpy/_core/_add_newdocs.py:1(<module>)
     1288    0.002    0.000    0.004    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/typing.py:1206(__setattr__)
      358    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap>:162(__enter__)
        1    0.000    0.000    0.004    0.004 /home/koova22/miniconda3/envs/q1/lib/python3.12/pickle.py:1(<module>)
    45/12    0.001    0.000    0.004    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/typing.py:1317(_determine_new_args)
      548    0.002    0.000    0.004    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/typing.py:1627(__hash__)
       99    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
      113    0.000    0.000    0.003    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/re/__init__.py:280(_compile)
